Item Number,Date,Inventory
064-18-2305,17-06-2023,7138
064-18-2320,17-06-2023,3804
064-18-2358,17-06-2023,7110
064-18-2877,17-06-2023,2
064-18-3258,17-06-2023,12599
064-18-3436,17-06-2023,2691
064-18-3665,17-06-2023,12359
064-18-3729,17-06-2023,16797
064-18-6538,17-06-2023,5884
064-18-6539,17-06-2023,4139
064-18-6548,17-06-2023,5
064-18-6552,17-06-2023,9
064-18-6556,17-06-2023,2
064-18-6558,17-06-2023,3
064-18-6559,17-06-2023,6
064-18-7128,17-06-2023,9960
064-18-8362,17-06-2023,7914
064-18-9089,17-06-2023,5937
064-18-9182,17-06-2023,14713
064-18-9724,17-06-2023,7339
064-18-9938,17-06-2023,2736
064-18-2343,17-06-2023,1
064-18-1490,17-06-2023,16150
064-18-2054,17-06-2023,2
064-18-0096,17-06-2023,12
064-18-2239,17-06-2023,1
064-18-7984,17-06-2023,14
064-18-2852,17-06-2023,6259
064-18-2853,17-06-2023,4631
064-18-2854,17-06-2023,7831
064-18-3712,17-06-2023,4738
064-18-3723,17-06-2023,15126
064-18-4768,17-06-2023,1
064-18-4769,17-06-2023,1
064-18-5658,17-06-2023,5575
064-18-5659,17-06-2023,6917
064-18-5660,17-06-2023,8281
064-18-0074,17-06-2023,1
064-18-0035,17-06-2023,4
064-18-0062,17-06-2023,7
064-18-6305,17-06-2023,40
064-18-2993,17-06-2023,2
064-18-6575,17-06-2023,7
064-18-6576,17-06-2023,1
064-18-6577,17-06-2023,10403
064-18-6578,17-06-2023,21633
064-18-3191,17-06-2023,1
064-18-4319,17-06-2023,3
064-18-9585,17-06-2023,2
064-18-9699,17-06-2023,5
064-18-9878,17-06-2023,2
064-18-0123,17-06-2023,4
064-18-0182,17-06-2023,9068
064-18-2314,17-06-2023,8207
064-18-4877,17-06-2023,57
064-18-4911,17-06-2023,21936
064-18-8452,17-06-2023,4003
064-18-8454,17-06-2023,5711
064-18-9173,17-06-2023,5
064-18-9441,17-06-2023,4
064-18-0169,17-06-2023,2
064-18-0643,17-06-2023,64
064-18-3216,17-06-2023,2
064-18-8585,17-06-2023,2
064-18-0081,17-06-2023,716
064-18-0285,17-06-2023,7
064-18-0375,17-06-2023,7
064-18-1080,17-06-2023,9
064-18-2103,17-06-2023,6
064-18-2317,17-06-2023,159
064-18-5003,17-06-2023,2
064-18-6554,17-06-2023,10182
064-18-8915,17-06-2023,6
064-18-9073,17-06-2023,12
064-18-9095,17-06-2023,11
064-18-9096,17-06-2023,18
064-18-9340,17-06-2023,22
064-18-9346,17-06-2023,17
064-18-9484,17-06-2023,9
064-18-9519,17-06-2023,20
064-18-9715,17-06-2023,9
064-18-9884,17-06-2023,12419
064-18-9909,17-06-2023,12
064-18-9962,17-06-2023,19
064-18-0790,17-06-2023,5
064-18-3316,17-06-2023,7354
064-18-9667,17-06-2023,7029
