Item Number,Inventory Receive,Total Item Qty
064-09-3600,09-07-2023,788
064-09-3654,09-07-2023,1768
064-09-3787,09-07-2023,3136
064-09-3958,09-07-2023,788
064-09-0041,09-07-2023,1368
064-09-0042,09-07-2023,1048
064-09-4261,09-07-2023,1452
064-09-0043,09-07-2023,1188
064-09-4332,09-07-2023,816
064-09-4450,09-07-2023,1368
064-09-4642,09-07-2023,920
064-09-4784,09-07-2023,888
064-09-5086,09-07-2023,816
064-09-5125,09-07-2023,1652
064-09-5282,09-07-2023,1140
064-09-5287,09-07-2023,2080
064-09-5457,09-07-2023,788
064-09-5503,09-07-2023,576
064-09-5559,09-07-2023,1048
064-09-0059,09-07-2023,1392
064-09-0006,09-07-2023,1248
064-09-6094,09-07-2023,1652
064-09-0631,09-07-2023,1388
064-09-6380,09-07-2023,996
064-09-6933,09-07-2023,576
064-09-7633,09-07-2023,1396
064-09-7924,09-07-2023,2452
064-09-8136,09-07-2023,1656
064-09-8249,09-07-2023,1340
064-09-8353,09-07-2023,920
064-09-8707,09-07-2023,996
064-09-9076,09-07-2023,2564
064-09-9115,09-07-2023,2880
064-09-9129,09-07-2023,1304
064-09-9139,09-07-2023,1076
064-09-9411,09-07-2023,708
064-09-0942,09-07-2023,1048
064-13-0345,04-08-2023,292
064-13-0358,04-08-2023,1204
064-13-0359,04-08-2023,776
064-13-0438,04-08-2023,1000
064-13-0439,04-08-2023,352
064-13-0563,04-08-2023,152
064-18-3017,16-08-2023,6300
064-18-4153,16-08-2023,6732
064-15-5777,29-09-2023,4500
064-15-6305,29-09-2023,4500
064-15-7068,29-09-2023,4000
064-15-7174,29-09-2023,2500
064-09-2641,16-08-2023,2616
064-09-0054,16-08-2023,2000
064-09-6826,16-08-2023,3388
064-09-0733,16-08-2023,1848
064-18-3436,16-08-2023,2100
064-18-2305,29-09-2023,2430
064-18-2320,29-09-2023,786
064-18-2358,29-09-2023,2238
064-18-0267,29-09-2023,1920
064-18-2852,29-09-2023,1464
064-18-2853,29-09-2023,150
064-18-2854,29-09-2023,2250
064-18-3017,29-09-2023,2382
064-18-3316,29-09-2023,1380
064-18-3665,29-09-2023,2310
064-18-3712,29-09-2023,3000
064-18-3723,29-09-2023,498
064-18-3729,29-09-2023,1200
064-18-4153,29-09-2023,3402
064-18-0493,29-09-2023,1268
064-18-0494,29-09-2023,3344
064-18-5658,29-09-2023,248
064-18-5659,29-09-2023,2016
064-18-5660,29-09-2023,2588
064-18-6538,29-09-2023,1920
064-18-6539,29-09-2023,2214
064-18-6578,29-09-2023,3498
064-18-7128,29-09-2023,3352
064-18-8362,29-09-2023,1308
064-18-9089,29-09-2023,484
064-18-9182,29-09-2023,2416
064-18-9667,29-09-2023,992
064-18-9724,29-09-2023,200
064-18-9938,29-09-2023,1976
064-11-1026,29-09-2023,2000
064-11-0005,29-09-2023,1500
064-11-5125,29-09-2023,3000
064-11-0594,29-09-2023,9000
064-11-0082,29-09-2023,2000
064-13-0345,16-08-2023,964
064-13-0358,16-08-2023,2892
064-13-0359,16-08-2023,1704
064-13-0370,16-08-2023,1700
064-13-0371,16-08-2023,168
064-13-0402,16-08-2023,196
064-13-0403,16-08-2023,132
064-13-0425,16-08-2023,276
064-13-0426,16-08-2023,276
064-13-0438,16-08-2023,2004
064-13-0439,16-08-2023,1480
064-13-4782,16-08-2023,148
064-13-0563,16-08-2023,1700
064-13-0345,13-10-2023,500
064-13-0358,13-10-2023,800
064-13-0359,13-10-2023,800
064-13-0371,13-10-2023,400
064-13-0402,13-10-2023,300
064-13-0403,13-10-2023,248
064-13-0425,13-10-2023,300
064-13-0426,13-10-2023,200
064-13-0438,13-10-2023,800
064-13-0439,13-10-2023,500
064-13-4782,13-10-2023,500
064-13-0563,13-10-2023,600
064-15-5738,04-08-2023,5348
064-15-5777,04-08-2023,15420
064-15-6305,04-08-2023,7472
064-15-7068,04-08-2023,10316
064-15-7174,04-08-2023,15800
064-09-1062,16-08-2023,1480
064-09-2179,16-08-2023,1224
064-09-0250,16-08-2023,1400
064-09-3154,16-08-2023,480
064-09-3413,16-08-2023,1260
064-09-3490,16-08-2023,768
064-09-3600,16-08-2023,1048
064-09-3654,16-08-2023,2356
064-09-3787,16-08-2023,4180
064-09-3958,16-08-2023,1048
064-09-0041,16-08-2023,1824
064-09-0042,16-08-2023,1400
064-09-4261,16-08-2023,1936
064-09-0043,16-08-2023,1584
064-09-4332,16-08-2023,1084
064-09-4450,16-08-2023,1824
064-09-4642,16-08-2023,1224
064-09-4784,16-08-2023,1184
064-09-5086,16-08-2023,1084
064-09-5125,16-08-2023,2204
064-09-5282,16-08-2023,1520
064-09-5287,16-08-2023,2772
064-09-5457,16-08-2023,1048
064-09-5503,16-08-2023,768
064-09-5559,16-08-2023,1400
064-09-0059,16-08-2023,1856
064-09-0006,16-08-2023,1664
064-09-6094,16-08-2023,2204
064-09-0631,16-08-2023,1848
064-09-6380,16-08-2023,1328
064-09-6933,16-08-2023,768
064-09-7633,16-08-2023,1860
064-09-7924,16-08-2023,3268
064-09-8136,16-08-2023,2204
064-09-8249,16-08-2023,1784
064-09-8353,16-08-2023,1224
064-09-8707,16-08-2023,1328
064-09-9076,16-08-2023,3420
064-09-9115,16-08-2023,3836
064-09-9129,16-08-2023,1740
064-09-9139,16-08-2023,1436
064-09-9411,16-08-2023,944
064-09-0942,16-08-2023,1400
064-09-2641,10-07-2023,1964
064-09-0054,10-07-2023,1500
064-09-6826,10-07-2023,2540
064-09-0733,10-07-2023,1384
064-13-0327,10-07-2023,2000
064-13-0328,10-07-2023,116
064-13-0351,10-07-2023,168
064-13-0353,10-07-2023,3052
064-13-0397,10-07-2023,316
064-13-0416,10-07-2023,8816
064-13-0417,10-07-2023,1040
064-13-0432,10-07-2023,1324
064-13-0433,10-07-2023,3000
064-13-6802,10-07-2023,1360
064-18-1490,29-09-2023,1770
064-18-0015,24-09-2023,16920
064-18-0197,24-09-2023,15840
064-18-0211,24-09-2023,11880
064-18-0214,24-09-2023,9000
064-18-0218,24-09-2023,9720
064-18-0091,24-09-2023,9900
064-01-1346,07-07-2023,1072
064-01-1347,07-07-2023,1000
064-01-1348,07-07-2023,788
064-01-1349,07-07-2023,1000
064-01-1351,07-07-2023,848
064-01-1360,07-07-2023,1100
064-01-1361,07-07-2023,624
064-01-1363,07-07-2023,972
064-01-1375,07-07-2023,1580
064-01-1384,07-07-2023,1200
064-01-1385,07-07-2023,696
064-01-1386,07-07-2023,684
064-01-1388,07-07-2023,800
064-01-1389,07-07-2023,628
064-01-1399,07-07-2023,900
064-01-1401,07-07-2023,848
064-01-1409,07-07-2023,588
064-01-1411,07-07-2023,352
064-01-1423,07-07-2023,540
064-01-1424,07-07-2023,1500
064-01-1430,07-07-2023,2020
064-01-1431,07-07-2023,1244
064-01-1437,07-07-2023,908
064-09-2641,08-09-2023,2616
064-09-0054,08-09-2023,2000
064-09-6826,08-09-2023,3388
064-09-0733,08-09-2023,1848
064-18-1490,13-10-2023,1770
064-09-2641,07-07-2023,1308
064-09-6826,07-07-2023,1692
064-15-5738,13-10-2023,4000
064-15-5777,13-10-2023,2000
064-15-6305,13-10-2023,3500
064-15-7068,13-10-2023,3000
064-15-7174,13-10-2023,4000
064-09-2641,04-08-2023,1000
064-09-0054,04-08-2023,900
064-09-6826,04-08-2023,1200
064-09-0733,04-08-2023,300
064-18-1490,14-07-2023,7350
064-01-1346,09-07-2023,2464
064-01-1347,09-07-2023,3568
064-01-1348,09-07-2023,1920
064-01-1349,09-07-2023,2920
064-01-1351,09-07-2023,1308
064-01-1360,09-07-2023,3340
064-01-1361,09-07-2023,4620
064-01-1362,09-07-2023,2480
064-01-1363,09-07-2023,3612
064-01-1365,09-07-2023,2280
064-01-1375,09-07-2023,1768
064-01-1384,09-07-2023,1880
064-01-1385,09-07-2023,3196
064-01-1386,09-07-2023,1856
064-01-1388,09-07-2023,2664
064-01-1389,09-07-2023,1612
064-01-1398,09-07-2023,3396
064-01-1399,09-07-2023,5736
064-01-1400,09-07-2023,2968
064-01-1401,09-07-2023,4372
064-01-1403,09-07-2023,2692
064-01-1408,09-07-2023,2788
064-01-1409,09-07-2023,4940
064-01-1410,09-07-2023,2572
064-01-1411,09-07-2023,3348
064-01-1413,09-07-2023,2192
064-01-1423,09-07-2023,2980
064-01-1424,09-07-2023,1736
064-01-1430,09-07-2023,2560
064-01-1431,09-07-2023,1460
064-01-1437,09-07-2023,1792
064-01-1443,09-07-2023,2892
064-01-1444,09-07-2023,4268
064-01-1445,09-07-2023,2624
064-01-1446,09-07-2023,2468
064-01-1448,09-07-2023,2240
064-18-0170,01-12-2023,18360
064-18-9904,01-12-2023,18700
064-01-0012,29-09-2023,6840
064-01-0013,29-09-2023,6300
064-01-1326,29-09-2023,4948
064-01-0016,29-09-2023,6028
064-01-0017,29-09-2023,5220
064-01-0018,29-09-2023,5760
064-01-0019,29-09-2023,7648
064-01-2156,29-09-2023,6568
064-01-2694,29-09-2023,5220
064-01-0003,29-09-2023,5488
064-01-3170,29-09-2023,7380
064-01-3372,29-09-2023,6568
064-01-3476,29-09-2023,6300
064-01-0035,29-09-2023,5488
064-01-3690,29-09-2023,5488
064-01-4033,29-09-2023,4948
064-01-4219,29-09-2023,6300
064-01-0005,29-09-2023,7380
064-01-5407,29-09-2023,6300
064-01-5543,29-09-2023,5488
064-01-6765,29-09-2023,7648
064-01-6878,29-09-2023,5220
064-01-0700,29-09-2023,7648
064-01-7347,29-09-2023,7380
064-01-7573,29-09-2023,6568
064-01-7675,29-09-2023,5488
064-01-8373,29-09-2023,6028
064-01-9024,29-09-2023,6568
064-01-0092,29-09-2023,4948
064-01-9479,29-09-2023,4948
064-01-9521,29-09-2023,5488
064-18-2305,09-07-2023,4506
064-18-2320,09-07-2023,2700
064-18-2358,09-07-2023,6066
064-18-0267,09-07-2023,4884
064-18-2852,09-07-2023,3228
064-18-2853,09-07-2023,2532
064-18-2854,09-07-2023,5274
064-18-3436,09-07-2023,2480
064-18-3665,09-07-2023,3774
064-18-3712,09-07-2023,5718
064-18-3723,09-07-2023,5022
064-18-3729,09-07-2023,7134
064-18-0493,09-07-2023,3736
064-18-0494,09-07-2023,2988
064-18-5658,09-07-2023,2188
064-18-5659,09-07-2023,2660
064-18-5660,09-07-2023,2092
064-18-6538,09-07-2023,3798
064-18-6539,09-07-2023,4890
064-18-6577,09-07-2023,4338
064-18-6578,09-07-2023,7608
064-18-7128,09-07-2023,5236
064-18-8362,09-07-2023,4248
064-18-9089,09-07-2023,4276
064-18-9182,09-07-2023,8260
064-18-9724,09-07-2023,4260
064-18-9938,09-07-2023,2764
064-18-2305,04-08-2023,312
064-18-2320,04-08-2023,1146
064-18-2358,04-08-2023,1632
064-18-0267,04-08-2023,402
064-18-2852,04-08-2023,744
064-18-2853,04-08-2023,354
064-18-2854,04-08-2023,2046
064-18-3665,04-08-2023,552
064-18-3712,04-08-2023,2082
064-18-3723,04-08-2023,426
064-18-3729,04-08-2023,150
064-18-0493,04-08-2023,832
064-18-0494,04-08-2023,1372
064-18-5659,04-08-2023,1312
064-18-5660,04-08-2023,1312
064-18-6538,04-08-2023,1368
064-18-6539,04-08-2023,2046
064-18-6577,04-08-2023,1116
064-18-6578,04-08-2023,1518
064-18-8362,04-08-2023,628
064-18-9089,04-08-2023,752
064-18-9182,04-08-2023,4000
064-18-9724,04-08-2023,1036
064-18-9938,04-08-2023,1368
064-18-3723,22-08-2023,1602
064-18-3729,22-08-2023,1998
064-13-0010,08-09-2023,2000
064-13-0327,08-09-2023,1300
064-13-0416,08-09-2023,2000
064-13-0432,08-09-2023,1800
064-13-0433,08-09-2023,2000
064-13-0007,08-09-2023,1000
064-13-0358,28-07-2023,1036
064-13-0359,28-07-2023,560
064-13-0438,28-07-2023,312
064-13-0563,28-07-2023,316
064-09-3787,18-08-2023,3000
064-09-5287,18-08-2023,4000
064-09-7924,18-08-2023,3000
064-09-8136,18-08-2023,4000
064-09-9076,18-08-2023,2600
064-09-9115,18-08-2023,2800
064-13-0002,10-07-2023,728
064-13-0228,10-07-2023,632
064-13-0327,10-07-2023,2704
064-13-0328,10-07-2023,3240
064-13-0332,10-07-2023,1740
064-13-0338,10-07-2023,1456
064-13-0340,10-07-2023,1780
064-13-0351,10-07-2023,1824
064-13-0353,10-07-2023,5452
064-13-0365,10-07-2023,720
064-13-3653,10-07-2023,844
064-13-3896,10-07-2023,1400
064-13-0397,10-07-2023,1324
064-13-0416,10-07-2023,4396
064-13-0417,10-07-2023,1564
064-13-0432,10-07-2023,1816
064-13-0433,10-07-2023,5292
064-13-5550,10-07-2023,1340
064-13-5554,10-07-2023,964
064-13-6802,10-07-2023,2128
064-13-8580,10-07-2023,1148
064-15-5738,28-07-2023,2480
064-15-5777,28-07-2023,1196
064-15-6305,28-07-2023,2140
064-15-7068,28-07-2023,5436
064-15-7174,28-07-2023,5908
064-18-0015,08-10-2023,5988
064-18-0197,08-10-2023,5216
064-18-0211,08-10-2023,5444
064-18-0214,08-10-2023,3380
064-18-0218,08-10-2023,3896
064-18-0091,08-10-2023,2932
064-11-0151,07-07-2023,740
064-11-2793,07-07-2023,2260
064-11-4530,07-07-2023,436
064-11-0005,07-07-2023,940
064-11-0082,07-07-2023,1032
064-13-0370,29-09-2023,400
064-13-0371,29-09-2023,448
064-13-0403,29-09-2023,300
064-13-0425,29-09-2023,248
064-13-0426,29-09-2023,300
064-13-0438,29-09-2023,1200
064-13-0439,29-09-2023,900
064-13-4782,29-09-2023,1000
064-13-0563,29-09-2023,900
064-11-1026,16-08-2023,5980
064-11-0151,16-08-2023,6388
064-11-2793,16-08-2023,10768
064-11-2824,16-08-2023,4624
064-11-4530,16-08-2023,4840
064-11-0005,16-08-2023,4532
064-11-5125,16-08-2023,6000
064-11-0594,16-08-2023,6396
064-11-0082,16-08-2023,6508
064-11-0996,16-08-2023,7644
064-15-5777,08-09-2023,3500
064-15-6305,08-09-2023,3200
064-15-7068,08-09-2023,5000
064-18-2305,08-09-2023,408
064-18-2320,08-09-2023,1824
064-18-2852,08-09-2023,1788
064-18-2853,08-09-2023,1752
064-18-3316,08-09-2023,500
064-18-3712,08-09-2023,2598
064-18-3723,08-09-2023,618
064-18-3729,08-09-2023,36
064-18-0493,08-09-2023,1176
064-18-0494,08-09-2023,792
064-18-5659,08-09-2023,2548
064-18-5660,08-09-2023,2208
064-18-6539,08-09-2023,2232
064-18-7128,08-09-2023,3248
064-18-8362,08-09-2023,852
064-18-9089,08-09-2023,1824
064-18-9182,08-09-2023,4228
064-18-9938,08-09-2023,2084
064-13-0010,13-10-2023,5000
064-13-0228,13-10-2023,500
064-13-0328,13-10-2023,1000
064-13-0332,13-10-2023,1300
064-13-0338,13-10-2023,1200
064-13-0340,13-10-2023,900
064-13-0351,13-10-2023,1200
064-13-0353,13-10-2023,1200
064-13-3653,13-10-2023,980
064-13-0397,13-10-2023,800
064-13-0416,13-10-2023,3800
064-13-0433,13-10-2023,2000
064-13-5550,13-10-2023,1000
064-13-6802,13-10-2023,1000
064-13-0007,13-10-2023,600
064-13-8580,13-10-2023,800
064-18-0015,22-10-2023,5988
064-18-0197,22-10-2023,5216
064-18-0211,22-10-2023,5444
064-18-0214,22-10-2023,3380
064-18-0218,22-10-2023,3896
064-18-0091,22-10-2023,2932
064-13-0010,28-07-2023,3140
064-13-0010,29-09-2023,7800
064-13-0002,29-09-2023,500
064-13-0228,29-09-2023,600
064-13-0327,29-09-2023,1000
064-13-0328,29-09-2023,1200
064-13-0338,29-09-2023,1300
064-13-0340,29-09-2023,1000
064-13-0351,29-09-2023,2000
064-13-0353,29-09-2023,2500
064-13-0365,29-09-2023,1200
064-13-3653,29-09-2023,1200
064-13-0397,29-09-2023,1800
064-13-0416,29-09-2023,4800
064-13-0417,29-09-2023,1900
064-13-0432,29-09-2023,1000
064-13-0433,29-09-2023,8000
064-13-6802,29-09-2023,2300
064-13-0007,29-09-2023,1000
064-13-0007,28-07-2023,2000
064-13-0010,16-08-2023,2012
064-13-0002,16-08-2023,1120
064-13-0228,16-08-2023,1484
064-13-0327,16-08-2023,2472
064-13-0328,16-08-2023,3704
064-13-0332,16-08-2023,2352
064-13-0338,16-08-2023,1916
064-13-0340,16-08-2023,2424
064-13-0351,16-08-2023,1296
064-13-0353,16-08-2023,4632
064-13-0365,16-08-2023,2712
064-13-3653,16-08-2023,1200
064-13-3896,16-08-2023,1212
064-13-0397,16-08-2023,1536
064-13-0416,16-08-2023,5812
064-13-0417,16-08-2023,1612
064-13-0432,16-08-2023,1692
064-13-0433,16-08-2023,5704
064-13-5550,16-08-2023,1132
064-13-5554,16-08-2023,1000
064-13-6802,16-08-2023,3184
064-13-0007,16-08-2023,3352
064-13-8580,16-08-2023,1200
064-13-8947,16-08-2023,1204
064-01-1346,04-08-2023,1400
064-01-1347,04-08-2023,1800
064-01-1348,04-08-2023,1200
064-01-1349,04-08-2023,2624
064-01-1360,04-08-2023,1000
064-01-1361,04-08-2023,2200
064-01-1362,04-08-2023,1400
064-01-1363,04-08-2023,2800
064-01-1365,04-08-2023,800
064-01-1384,04-08-2023,1000
064-01-1385,04-08-2023,2200
064-01-1388,04-08-2023,1200
064-01-1398,04-08-2023,2400
064-01-1399,04-08-2023,2000
064-01-1400,04-08-2023,1800
064-01-1401,04-08-2023,1000
064-01-1408,04-08-2023,2260
064-01-1409,04-08-2023,2300
064-01-1410,04-08-2023,1800
064-01-1413,04-08-2023,500
064-01-1443,04-08-2023,1300
064-01-1444,04-08-2023,2000
064-09-1062,04-08-2023,740
064-09-2179,04-08-2023,612
064-09-0250,04-08-2023,700
064-09-3413,04-08-2023,628
064-09-3600,04-08-2023,524
064-09-3654,04-08-2023,1000
064-09-3787,04-08-2023,1500
064-09-3958,04-08-2023,524
064-09-0041,04-08-2023,912
064-09-0042,04-08-2023,700
064-09-4261,04-08-2023,700
064-09-0043,04-08-2023,792
064-09-4332,04-08-2023,544
064-09-4450,04-08-2023,700
064-09-4642,04-08-2023,612
064-09-4784,04-08-2023,592
064-09-5086,04-08-2023,544
064-09-5125,04-08-2023,1100
064-09-5282,04-08-2023,760
064-09-5287,04-08-2023,1200
064-09-5457,04-08-2023,524
064-09-5503,04-08-2023,384
064-09-5559,04-08-2023,700
064-09-0059,04-08-2023,928
064-09-0006,04-08-2023,832
064-09-6094,04-08-2023,1100
064-09-0631,04-08-2023,700
064-09-6380,04-08-2023,664
064-09-6933,04-08-2023,384
064-09-7633,04-08-2023,932
064-09-7924,04-08-2023,1200
064-09-8136,04-08-2023,1000
064-09-8249,04-08-2023,892
064-09-8353,04-08-2023,612
064-09-8707,04-08-2023,664
064-09-9076,04-08-2023,1300
064-09-9115,04-08-2023,1400
064-09-9129,04-08-2023,868
064-09-9139,04-08-2023,716
064-09-9411,04-08-2023,472
064-09-0942,04-08-2023,700
064-13-0327,04-08-2023,2088
064-13-0328,04-08-2023,2356
064-13-0332,04-08-2023,724
064-13-0351,04-08-2023,980
064-13-0353,04-08-2023,2944
064-13-0397,04-08-2023,988
064-13-0416,04-08-2023,3924
064-13-0417,04-08-2023,1084
064-13-0432,04-08-2023,1328
064-13-0433,04-08-2023,1000
064-13-6802,04-08-2023,3052
064-18-0170,15-12-2023,4860
064-18-9904,15-12-2023,5100
064-13-0007,14-07-2023,2164
064-18-0309,08-12-2023,8076
064-18-4752,08-12-2023,8076
064-09-2641,28-07-2023,1000
064-09-0054,28-07-2023,900
064-09-6826,28-07-2023,1200
064-09-0733,28-07-2023,300
064-11-1026,09-07-2023,2548
064-11-0151,09-07-2023,2840
064-11-2793,09-07-2023,5380
064-11-2824,09-07-2023,784
064-11-4530,09-07-2023,2096
064-11-0005,09-07-2023,2228
064-11-5125,09-07-2023,2028
064-11-0594,09-07-2023,2932
064-11-0082,09-07-2023,2896
064-11-0996,09-07-2023,3080
064-18-3496,16-08-2023,20812
064-18-4295,16-08-2023,14820
064-09-1062,13-10-2023,1480
064-09-2179,13-10-2023,920
064-09-0250,13-10-2023,1400
064-09-3154,13-10-2023,480
064-09-3413,13-10-2023,944
064-09-3490,13-10-2023,576
064-09-3600,13-10-2023,524
064-09-3654,13-10-2023,2356
064-09-3787,13-10-2023,4180
064-09-3958,13-10-2023,524
064-09-0041,13-10-2023,1824
064-09-0042,13-10-2023,1400
064-09-4261,13-10-2023,1936
064-09-0043,13-10-2023,1584
064-09-4332,13-10-2023,812
064-09-4450,13-10-2023,1824
064-09-4642,13-10-2023,920
064-09-4784,13-10-2023,888
064-09-5086,13-10-2023,544
064-09-5125,13-10-2023,2204
064-09-5282,13-10-2023,1520
064-09-5287,13-10-2023,2772
064-09-5457,13-10-2023,524
064-09-5503,13-10-2023,576
064-09-5559,13-10-2023,1400
064-09-0059,13-10-2023,1856
064-09-0006,13-10-2023,1664
064-09-6094,13-10-2023,2204
064-09-0631,13-10-2023,1848
064-09-6380,13-10-2023,996
064-09-6933,13-10-2023,576
064-09-7633,13-10-2023,1860
064-09-7924,13-10-2023,3268
064-09-8136,13-10-2023,2204
064-09-8249,13-10-2023,1784
064-09-8353,13-10-2023,920
064-09-8707,13-10-2023,1328
064-09-9076,13-10-2023,3420
